case,case_name,suggested_class,author_class,author_note
6,United States v. Clarke,unmarked_omission,unmarked_omission,
9,Republic of Iraq v. Beaty,citation_omitted,citation_omitted,
14,Fry v. Napoleon Community Schools,page_furniture,page_furniture,
24,Gall v. United States,unmarked_omission,unmarked_omission,
25,Nichols v. United States,fabrication,fabrication,
42,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,
45,League of United Latin American Citizens v. Perry,unmarked_omission,unmarked_omission,
61,Credit Suisse Securities (USA) LLC v. Billing,misquotation,misquotation,
67,Gamble v. United States,unmarked_omission,unmarked_omission,
77,Boumediene v. Bush,unmarked_omission,unmarked_omission,
83,Panetti v. Quarterman,misquotation,misquotation,
86,Panetti v. Quarterman,citation_omitted,citation_omitted,
87,Panetti v. Quarterman,unmarked_omission,unmarked_omission,
89,Panetti v. Quarterman,citation_omitted,citation_omitted,
97,Hamdan v. Rumsfeld,from_memory,from_memory,
102,Hamdan v. Rumsfeld,page_furniture,page_furniture,
103,Hamdan v. Rumsfeld,page_furniture,page_furniture,
104,Hamdan v. Rumsfeld,unmarked_omission,unmarked_omission,
106,Hamdan v. Rumsfeld,citation_omitted,citation_omitted,
130,"Altria Group, Inc. v. Good",page_furniture,page_furniture,
149,"Romag Fasteners, Inc. v. Fossil, Inc.",page_furniture,page_furniture,
159,Tapia v. United States,page_furniture,page_furniture,
171,Azar v. Garza,unmarked_omission,unmarked_omission,
