case,case_name,suggested_class,author_class,author_note
0,United States v. Clarke,citation_omitted,unmarked_omission,"Disagree with the suggestion. The 129 character gap removes a whole sentence of the Court's reasoning, that a non-complying taxpayer may face an enforcement action in district court, and the quotation carries no ellipsis at that point. The other gaps are editorial brackets and are benign."
1,United States v. Clarke,page_furniture,page_furniture,"Gap is the page break, the case caption and the Opinion of the Court line. The bracket gaps are editorial insertions in the source."
2,United States v. Clarke,page_furniture,page_furniture,"Gap is a Cite as line, a page number and the Opinion of the Court heading."
3,United States v. Clarke,page_furniture,page_furniture,Gap is a Cite as line and the Opinion of the Court heading. Quotation otherwise verbatim.
4,United States v. Clarke,citation_omitted,citation_omitted,Gap is a string citation to the Federal Appendix and to Tiffany Fine Arts. Quotation otherwise verbatim.
5,United States v. Clarke,citation_omitted,citation_omitted,Same passage and same gap as case 4. Citation only.
7,Republic of Iraq v. Beaty,citation_omitted,citation_omitted,"Gap is the source reference for the veto message, a Weekly Compilation citation."
8,Republic of Iraq v. Beaty,page_furniture,page_furniture,"Gap is a footnote block following the rule line, carrying the eighth proviso of EWSAA section 1503."
10,Republic of Iraq v. Beaty,citation_omitted,citation_omitted,"Gaps are a reporter citation to sections 1604 and 1330(a) and a Cite as header. Both benign; classed by the citation, which is the substantive omission."
11,Republic of Iraq v. Beaty,page_furniture,page_furniture,Gap is a footnote on the sunset date followed by a Cite as header.
12,Fry v. Napoleon Community Schools,citation_omitted,citation_omitted,"Gap is a citation to Honig v. Doe with a parenthetical aside by the Court about acronyms. The aside is commentary, not reasoning."
13,Fry v. Napoleon Community Schools,page_furniture,page_furniture,Gap is the case caption and the Opinion of the Court line.
15,Fry v. Napoleon Community Schools,citation_omitted,citation_omitted,Gaps are a Cite as header and two statutory citations. The quotation marks its omissions with ellipses.
16,Fry v. Napoleon Community Schools,page_furniture,page_furniture,Gap is a Cite as header only. Same passage as case 15 quoted at greater length.
17,Fry v. Napoleon Community Schools,page_furniture,page_furniture,Gap is the case caption and the Opinion of the Court line.
18,Fry v. Napoleon Community Schools,citation_omitted,citation_omitted,Gap is a citation to the Sixth Circuit opinion with an explanatory parenthetical. The quotation marks the omission with an ellipsis.
19,James v. United States,citation_omitted,citation_omitted,Gaps are a Taylor citation and a passage the quotation marks with an ellipsis.
20,James v. United States,citation_omitted,citation_omitted,Gap is a citation to Shepard quoting Taylor.
21,James v. United States,citation_omitted,citation_omitted,Gap is a citation to Jones v. State.
22,James v. United States,citation_omitted,citation_omitted,Gaps are a citation to Taylor and an em dash pair rendered as byte 0x97. Both benign.
23,Gall v. United States,citation_omitted,citation_omitted,Gaps are citations to the Eighth Circuit opinion and to Claiborne.
26,League of United Latin American Citizens v. Perry,encoding_artefact,encoding_artefact,Source holds byte 0x9E where the quotation has the section sign. Not a difference in wording.
27,League of United Latin American Citizens v. Perry,citation_omitted,unmarked_omission,"Disagree with the suggestion. The 287 character gap removes a parenthetical on how appellants are referred to and a sentence recording that the court entered judgment and issued findings, with no ellipsis in the quotation. The section sign gap is an encoding artefact."
28,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gaps are citations to Session and a pair of em dashes rendered as the mojibake sequence for that character.
29,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gaps are short Id. citations.
30,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,"Gaps are a section sign encoding artefact, an editorial bracket, and a long citation to De Grandy quoting Growe and Gingles."
31,League of United Latin American Citizens v. Perry,encoding_artefact,encoding_artefact,Section sign encoding artefact and an editorial bracket. Same passage as case 30 without the citation.
32,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gaps are a citation to Session and a citation to the Lichtman expert report.
33,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gaps are citations to Session and to the separate opinion of Judge Ward.
34,League of United Latin American Citizens v. Perry,encoding_artefact,encoding_artefact,Section sign encoding artefact only.
35,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,"Gap is a citation with an explanatory parenthetical, plus a section sign encoding artefact."
36,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Three section sign encoding artefacts and a citation to Abrams.
37,League of United Latin American Citizens v. Perry,encoding_artefact,encoding_artefact,Section sign encoding artefact only.
38,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gaps are an Id. citation and a section sign encoding artefact.
39,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gap is a citation to Miller v. Johnson together with a section sign encoding artefact.
40,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,"Gap is a citation to the opinion of the Chief Justice, plus a section sign encoding artefact."
41,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gap is a citation to the Lichtman report.
43,League of United Latin American Citizens v. Perry,encoding_artefact,encoding_artefact,Section sign encoding artefact only.
44,League of United Latin American Citizens v. Perry,citation_omitted,citation_omitted,Gaps are a citation to Session and a section sign encoding artefact.
46,Torres v. Texas Department of Public Safety,page_furniture,page_furniture,Gap is a Cite as header and the Opinion of the Court line.
47,Torres v. Texas Department of Public Safety,citation_omitted,citation_omitted,"Gaps are a Federalist citation, a Cite as header, and a passage the quotation marks with an ellipsis."
48,Torres v. Texas Department of Public Safety,page_furniture,page_furniture,"Gap is the case caption and the Opinion of the Court line, plus an editorial bracket."
49,Torres v. Texas Department of Public Safety,citation_omitted,citation_omitted,Gap is a citation to PennEast and to the dissent.
50,United States v. Tinklenberg,page_furniture,page_furniture,Gap is a Cite as header and the Opinion of the Court line.
51,United States v. Tinklenberg,page_furniture,page_furniture,Gap is the case caption and the Opinion of the Court line.
52,United States v. Tinklenberg,page_furniture,page_furniture,Gap is the case caption and the Opinion of the Court line.
53,United States v. Tinklenberg,citation_omitted,citation_omitted,Gap is a citation to section 3161(h)(1)(D).
54,United States v. Tinklenberg,citation_omitted,citation_omitted,"Long gaps, but the quotation marks each omission with an ellipsis. What remains are a string citation of Courts of Appeals decisions, a Cite as header and a citation to General Dynamics."
55,United States v. Tinklenberg,page_furniture,page_furniture,Gap is a Cite as header and the Opinion of the Court line.
56,United States v. Tinklenberg,citation_omitted,citation_omitted,"Gaps are the case caption with the Opinion of the Court line, and a citation to Howeisen and American Tobacco. Classed by the citation."
57,United States v. Tinklenberg,page_furniture,page_furniture,Gap is a Cite as header and the Opinion of the Court line.
58,United States v. Tinklenberg,citation_omitted,citation_omitted,Gaps are a citation to Bloate and a Cite as header for the opinion of Justice Scalia.
